,date,team1,team2,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7,referee,assistant_1,assistant_2,fourth
313,29.09.2018,Arsenal,Watford,Petr Čech,Héctor Bellerín Moruno,Ignacio Monreal Eraso,Shkodran Mustafi,Rob Holding,Granit Xhaka,Mesut Özil,Lucas Torreira Di Pascua,Aaron Ramsey,Alexandre Lacazette,Pierre-Emerick Aubameyang,Bernd Leno,Stephan Lichtsteiner,Sead Kolašinac,Henrikh Mkhitaryan,Alex Iwobi,Mattéo Guendouzi Olié,Daniel Nii Tackie Mensah Welbeck,Ben Foster,Marc Navarro Ceciliano,José Holebas,Craig Cathcart,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Maximiliano Pereyra,Andre Gray,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Francisco Femenía Far,Ken Sema,Nathaniel Chalobah,Isaac  Ajayi Success,Anthony Taylor,Gary Beswick,Neil Davies,Martin Atkinson
314,29.09.2018,Everton,Fulham,Jordan Pickford,Jonjoe Kenny,Lucas Digne,Michael Keane,Kurt Happy Zouma,Idrissa Gana Gueye,Tom Davies,Gylfi Þór Sigurðsson,Theo  Walcott,Dominic Calvert-Lewin,Richarlison de Andrade,Maarten Stekelenburg,Mason Holgate,Leighton Baines,Morgan Schneiderlin,Bernard  Anício Caldeira Duarte,Cenk Tosun,Ademola Lookman,Marcus Bettinelli,Timothy Evans Fosu-Mensah,Joe  Bryan,Denis Odoi,Tim Ream,André-Frank Zambo Anguissa,André Schürrle,Jean Michaël Seri,Kouassi Ryan Sessegnon,Luciano Vietto,Aleksandar Mitrović,Sergio Rico González,Maxime Le Marchand,Cyrus Christie,Kevin McDonald,Stefan Marius Johansen,Tom Cairney,Floyd Ayité,Roger East,Simon Beck,Andy Garratt,Jeremy Simpson
315,29.09.2018,Huddersfield Town,Tottenham Hotspur,Jonas Lössl,Erik Durm,Chris Löwe,Terence Kongolo,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Aaron Mooy,Philip Billing,Alex  Pritchard,Jonathan Hogg,Laurent Depoitre,Ben Hamer,Tom Smith,Jon Gorenc Stankovič,Florent Hadërgjonaj,Rajiv van La Parra,Isaac Mbenza,Steve Mounié,Paulo Dino Gazzaniga,Kieran Trippier,Danny Rose,Jan Vertonghen,Toby Alderweireld,Davinson Sánchez Mina,Eric Dier,Mousa Sidi Yaya Dembélé,Lucas Rodrigues Moura da Silva,Heung-Min Son,Harry Kane,Alfie Whiteman,Ben Davies,Harry Winks,Erik Lamela,Victor Wanyama,Moussa Sissoko,Fernando Llorente Torres,Craig Pawson,Ian Hussin,Andy Halliday,Peter Bankes
316,29.09.2018,Manchester City,Brighton & Hove Albion,Ederson Santana de Moraes,Kyle Walker,Nicolás Hernán Otamendi,Aymeric  Laporte,Oleksandr Zinchenko,Fernando Luiz Rosa,Bernardo Mota Veiga de Carvalho e Silva,David Josué Jiménez Silva,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Leroy Sané,Arijanet Murić,Danilo Luiz da Silva,Vincent Kompany,John Stones,Riyad Mahrez,Philip Foden,Gabriel Fernando de Jesus,Mathew Ryan,Martín Montoya Torralbo,Gaëtan Bong Songo,Lewis Dunk,Shane Duffy,Davy Pröpper,Anthony Knockaert,Beram Kayal,Yves Bissouma,Solomon March,Jürgen Locadia,David Button,Bruno Saltor Grau,Leon-Aderemi Balogun,Bernardo Fernandes da Silva Junior,Alireza Jahanbakhsh,Glenn Murray,José Heriberto Izquierdo Mena,Lee Mason,Matthew Wilkes,Mick McDonough,Oliver Langford
317,29.09.2018,Newcastle United,Leicester City,Martin Dúbravka,DeAndre Yedlin,Jamaal Lascelles,Ciaran Clark,Matt Ritchie,Mohamed Diamé,Christian  Atsu Twasam,Jonjo Shelvey,Robert Kenedy Nunes do Nascimento,José Luis Sanmartín Mato,Ayoze Pérez Gutiérrez,Karl Darlow,Fabian Lukas Schär,Javier Manquillo Gaitán,Jacob Murphy,Isaac Hayden,Sean Longstaff,Yoshinori Muto,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Ricardo Domingos Barbosa Pereira,Daniel Amartey,Onyinye Wilfred Ndidi,Nampalys Mendy,James Maddison,Jamie Vardy,Kelechi Promise Iheanacho,Danny Ward,Jonny Evans,Christian Fuchs,Marc Albrighton,Vicente Iborra de la Fuente,Rachid Ghezzal,Shinji Okazaki,Simon Hooper,Richard West,Daniel Cook,Mike Dean
318,29.09.2018,Wolverhampton Wanderers,Southampton,Rui Pedro dos Santos Patrício,Matt Doherty,Jonathan Castro Otto,Willy Boly,Conor  Coady,Ryan Bennett,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,Hélder Wander Sousa Azevedo Costa,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Kortney Hause,Romain Saïss,Ivan Ricardo Neves Abreu Cavaleiro,Leonardo Bonatini Lohner Maia,Adama Traoré Diarra,Alex McCarthy,Cédric Ricardo Alves Soares,Ryan Bertrand,Jannik Vestergaard,Wesley Hoedt,Pierre-Emile Højbjerg,Mohamed Elyounoussi,Mario Lemina,Nathan Redmond,Daniel William John Ings,Charlie Austin,Angus Gunn,Maya Yoshida,Matt Targett,Steven Davis,Oriol Romeu Vidal,Stuart Armstrong,Manolo Gabbiadini,Stuart Attwell,Constantine Hatzidakis,Peter James Kirkup,Robert Jones
319,29.09.2018,West Ham United,Manchester United,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Fabián Cornelio Balbuena González,Issa Diop,Declan Rice,Mark Noble,Pedro  Mba Obiang Avomo,Felipe  Anderson Pereira Gomes,Andriy Yarmolenko,Marko Arnautović,Adrián San Miguel del Castillo,Angelo Obinze Ogbonna,Ryan Fredericks,Robert Snodgrass,Michail Antonio,Grady Diangana,Lucas Pérez Martínez,David de Gea Quintana,Ashley Young,Luke Shaw,Chris Smalling,Victor Nilsson Lindelöf,Nemanja Matić,Scott McTominay,Paul Pogba,Marouane Fellaini-Bakkioui,Romelu Lukaku Menama,Anthony Martial,Lee Grant,Eric Bertrand  Bailly,Matteo Darmian,Juan Manuel Mata García,Frederico Rodrigues Santos,Ander Herrera Agüera,Marcus Rashford,Michael Oliver,Stuart Burt,Simon Bennett,Paul Tierney
320,23.09.2018,Arsenal,Everton,Petr Čech,Héctor Bellerín Moruno,Ignacio Monreal Eraso,Shkodran Mustafi,Sokratis Papastathopoulos,Granit Xhaka,Mesut Özil,Lucas Torreira Di Pascua,Aaron Ramsey,Alexandre Lacazette,Pierre-Emerick Aubameyang,Bernd Leno,Stephan Lichtsteiner,Rob Holding,Mohamed Naser Elsayed Elneny,Alex Iwobi,Mattéo Guendouzi Olié,Daniel Nii Tackie Mensah Welbeck,Jordan Pickford,Jonjoe Kenny,Lucas Digne,Michael Keane,Kurt Happy Zouma,Tom Davies,Idrissa Gana Gueye,Gylfi Þór Sigurðsson,Theo  Walcott,Dominic Calvert-Lewin,Richarlison de Andrade,Maarten Stekelenburg,Mason Holgate,Leighton Baines,Morgan Schneiderlin,Bernard  Anício Caldeira Duarte,Cenk Tosun,Ademola Lookman,Jonathan Moss,Lee Betts,Harry Lennard,Roger East
321,23.09.2018,West Ham United,Chelsea,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Issa Diop,Fabián Cornelio Balbuena González,Declan Rice,Pedro  Mba Obiang Avomo,Michail Antonio,Mark Noble,Felipe  Anderson Pereira Gomes,Andriy Yarmolenko,Adrián San Miguel del Castillo,Aaron Cresswell,Angelo Obinze Ogbonna,Ryan Fredericks,Robert Snodgrass,Carlos Alberto Sánchez Moreno,Lucas Pérez Martínez,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Marcos  Alonso Mendoza,Antonio Rüdiger,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,N'Golo Kanté,Mateo Kovačić,Olivier Giroud,Willian Borges da Silva,Eden Hazard,Wilfredo Daniel Caballero,Victor Moses,Davide Zappacosta,Gary Cahill,Francesc Fàbregas i Soler,Ross Barkley,Álvaro Borja Morata Martín,Mike Dean,Ian Hussin,Mark Scholes,Stuart Attwell
322,22.09.2018,Brighton & Hove Albion,Tottenham Hotspur,Mathew Ryan,Martín Montoya Torralbo,Shane Duffy,Lewis Dunk,Gaëtan Bong Songo,Solomon March,Yves Bissouma,Davy Pröpper,Dale Stephens,Anthony Knockaert,Glenn Murray,David Button,Leon-Aderemi Balogun,Bernardo Fernandes da Silva Junior,Beram Kayal,Florin Andone,Alireza Jahanbakhsh,Jürgen Locadia,Paulo Dino Gazzaniga,Kieran Trippier,Jan Vertonghen,Toby Alderweireld,Danny Rose,Mousa Sidi Yaya Dembélé,Eric Dier,Lucas Rodrigues Moura da Silva,Christian  Dannemann Eriksen,Heung-Min Son,Harry Kane,Alfie Whiteman,Serge Aurier,Davinson Sánchez Mina,Harry Winks,Erik Lamela,Victor Wanyama,Bamidele Alli,Chris Kavanagh,Daniel Cook,Sian Massey,Mike Dean
323,22.09.2018,Burnley,AFC Bournemouth,Joe Hart,Matthew Lowton,Charlie Taylor,James  Tarkowski,Ben Mee,Ashley Westwood,Aaron  Lennon,Jack Cork,Johann  Berg Guðmunds­son,Sam Vokes,Matěj Vydra,Tom Heaton,Phil Bardsley,Kevin Long,Jeff Hendrick,Ashley Barnes,Chris Wood,Dwight McNeil,Asmir Begović,Adam Smith,Diego Rico Salguero,Steve Cook,Nathan Aké,Andrew Surman,David Brooks,Jefferson Andrés Lerma Solís,Ryan Fraser,Callum Wilson,Joshua King,Artur Boruc,Simon Francis,Tyrone Mings,Jordon  Ibe,Lewis Cook,Junior Stanislas,Jermain  Defoe,Anthony Taylor,Gary Beswick,Adam Nunn,Oliver Langford
324,22.09.2018,Cardiff City,Manchester City,Neil Leonard Dula Etheridge,Lee Peltier,Greg Cunningham,Sean Morrison,Bruno Écuélé Manga,Harry Arter,Víctor Camarasa Ferrando,Joe Ralls,Bobby Reid,Danny Ward,David Junior Hoilett,Brian Murphy,Joe Bennett,Jazz Richards,Callum Paterson,Souleymane Bamba,Josh Murphy,Kenneth Dahrup Zohorè,Ederson Santana de Moraes,Kyle Walker,Nicolás Hernán Otamendi,Aymeric  Laporte,Fabian Delph,Fernando Luiz Rosa,Bernardo Mota Veiga de Carvalho e Silva,İlkay Gündoğan,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Leroy Sané,Arijanet Murić,Vincent Kompany,John Stones,David Josué Jiménez Silva,Riyad Mahrez,Philip Foden,Gabriel Fernando de Jesus,Michael Oliver,Stuart Burt,Simon Bennett,Darren England
325,22.09.2018,Crystal Palace,Newcastle United,Wayne  Hennessey,Aaron Wan-Bissaka,Patrick  van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojević,Cheikhou Kouyaté,James McArthur,Andros Townsend,Jordan Ayew,Wilfried Zaha,Vicente Guaita Panadero,Joel Ward,Jeffrey  Schlupp,Martin Kelly,Max  Meyer,Jason Puncheon,Alexander Sørloth,Martin Dúbravka,DeAndre Yedlin,Paul Dummett,Federico Fernández,Jamaal Lascelles,Mohamed Diamé,Matt Ritchie,Jonjo Shelvey,Robert Kenedy Nunes do Nascimento,José Salomón Rondón Giménez,Ayoze Pérez Gutiérrez,Karl Darlow,Ciaran Clark,Javier Manquillo Gaitán,Sung-Yeung Ki,Christian  Atsu Twasam,Yoshinori Muto,José Luis Sanmartín Mato,Andre Marriner,Scott Ledger,Simon Long,Gavin Ward
326,22.09.2018,Leicester City,Huddersfield Town,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Daniel Amartey,Nampalys Mendy,Rachid Ghezzal,Onyinye Wilfred Ndidi,James Maddison,Jamie Vardy,Kelechi Promise Iheanacho,Danny Ward,Ricardo Domingos Barbosa Pereira,Christian Fuchs,Demarai Gray,Marc Albrighton,Adrien Sebastian Perruchet Silva,Shinji Okazaki,Jonas Lössl,Erik Durm,Chris Löwe,Terence Kongolo,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Philip Billing,Aaron Mooy,Rajiv van La Parra,Elias Kachunga,Laurent Depoitre,Ben Hamer,Florent Hadërgjonaj,Jonathan Hogg,Alex  Pritchard,Adama Diakhaby,Isaac Mbenza,Steve Mounié,David Coote,Peter James Kirkup,Marc Perry,Jonathan Moss
327,22.09.2018,Liverpool,Southampton,Alisson Ramsés Becker,Trent Alexander-Arnold,Andrew Robertson,Joël Andre Job Matip,Virgil van Dijk,Jordan Brian Henderson,Georginio Wijnaldum,Mohamed  Salah Ghaly,Roberto Firmino Barbosa de Oliveira,Xherdan Shaqiri,Sadio Mané,Simon Mignolet,Joe Gomez,Alberto Moreno Pérez,Fábio Henrique Tavares,James Philip Milner,Naby Deco Keïta,Daniel Andre Sturridge,Alex McCarthy,Cédric Ricardo Alves Soares,Matt Targett,Ryan Bertrand,Wesley Hoedt,Jannik Vestergaard,Pierre-Emile Højbjerg,Mario Lemina,Nathan Redmond,Oriol Romeu Vidal,Shane  Long,Angus Gunn,Maya Yoshida,Jan Bednarek,Steven Davis,James  Ward-Prowse,Stuart Armstrong,Charlie Austin,Paul Tierney,Darren Cann,Mick McDonough,Lee Mason
328,22.09.2018,Manchester United,Wolverhampton Wanderers,David de Gea Quintana,Luis Antonio Valencia Mosquera,Luke Shaw,Chris Smalling,Victor Nilsson Lindelöf,Marouane Fellaini-Bakkioui,Paul Pogba,Frederico Rodrigues Santos,Jesse Lingard,Romelu Lukaku Menama,Alexis Alejandro Sánchez Sánchez,Sergio Germán Romero,Eric Bertrand  Bailly,Ashley Young,Juan Manuel Mata García,Andreas Hoelgebaum Pereira,Scott McTominay,Anthony Martial,Rui Pedro dos Santos Patrício,Matt Doherty,Jonathan Castro Otto,Willy Boly,Conor  Coady,Ryan Bennett,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,Hélder Wander Sousa Azevedo Costa,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Kortney Hause,Morgan Gibbs-White,Romain Saïss,Leonardo Bonatini Lohner Maia,Adama Traoré Diarra,Kevin Friend,Adrian Holmes,Simon Beck,Craig Pawson
329,22.09.2018,Fulham,Watford,Marcus Bettinelli,Timothy Evans Fosu-Mensah,Calum Chambers,Alfie Mawson,Kouassi Ryan Sessegnon,Kevin McDonald,Jean Michaël Seri,Stefan Marius Johansen,André Schürrle,Aleksandar Mitrović,Luciano Vietto,Sergio Rico González,Denis Odoi,Maxime Le Marchand,Cyrus Christie,André-Frank Zambo Anguissa,Floyd Ayité,Aboubakar Kamara,Ben Foster,Daryl Janmaat,José Holebas,Craig Cathcart,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Maximiliano Pereyra,Andre Gray,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Francisco Femenía Far,Ken Sema,Nathaniel Chalobah,Isaac  Ajayi Success,Martin Atkinson,Stephen Child,Constantine Hatzidakis,Roger East
330,17.09.2018,Southampton,Brighton & Hove Albion,Alex McCarthy,Cédric Ricardo Alves Soares,Ryan Bertrand,Jannik Vestergaard,Wesley Hoedt,Pierre-Emile Højbjerg,Mohamed Elyounoussi,Mario Lemina,Nathan Redmond,Daniel William John Ings,Shane  Long,Angus Gunn,Maya Yoshida,Matt Targett,Steven Davis,James  Ward-Prowse,Charlie Austin,Manolo Gabbiadini,Mathew Ryan,Martín Montoya Torralbo,Gaëtan Bong Songo,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Davy Pröpper,Yves Bissouma,Solomon March,Glenn Murray,David Button,Bruno Saltor Grau,Leon-Aderemi Balogun,Bernardo Fernandes da Silva Junior,Beram Kayal,Jürgen Locadia,Alireza Jahanbakhsh,Anthony Taylor,Gary Beswick,Adam Nunn,Graham Scott
331,16.09.2018,Everton,West Ham United,Jordan Pickford,Jonjoe Kenny,Lucas Digne,Mason Holgate,Kurt Happy Zouma,Morgan Schneiderlin,Idrissa Gana Gueye,Gylfi Þór Sigurðsson,Theo  Walcott,Cenk Tosun,Dominic Calvert-Lewin,Maarten Stekelenburg,Leighton Baines,Bernard  Anício Caldeira Duarte,Tom Davies,Kieran Dowell,El-Hadji Baye Oumar Niasse,Ademola Lookman,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Fabián Cornelio Balbuena González,Issa Diop,Declan Rice,Mark Noble,Pedro  Mba Obiang Avomo,Felipe  Anderson Pereira Gomes,Marko Arnautović,Andriy Yarmolenko,Adrián San Miguel del Castillo,Aaron Cresswell,Angelo Obinze Ogbonna,Robert Snodgrass,Carlos Alberto Sánchez Moreno,Michail Antonio,Lucas Pérez Martínez,Martin Atkinson,Stephen Child,Peter James Kirkup,David Coote
332,16.09.2018,Wolverhampton Wanderers,Burnley,Rui Pedro dos Santos Patrício,Matt Doherty,Jonathan Castro Otto,Willy Boly,Conor  Coady,Ryan Bennett,Rúben Diogo Da Silva Neves,João Filipe Iria Santos Moutinho,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,Hélder Wander Sousa Azevedo Costa,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Kortney Hause,Morgan Gibbs-White,Romain Saïss,Leonardo Bonatini Lohner Maia,Adama Traoré Diarra,Joe Hart,Phil Bardsley,Charlie Taylor,James  Tarkowski,Ben Mee,Jeff Hendrick,Aaron  Lennon,Jack Cork,Johann  Berg Guðmunds­son,Sam Vokes,Ashley Barnes,Tom Heaton,Matthew Lowton,Stephen Ward,Kevin Long,Ashley Westwood,Chris Wood,Matěj Vydra,Andre Marriner,Scott Ledger,Mick McDonough,Stuart Attwell
333,15.09.2018,Watford,Manchester United,Ben Foster,Daryl Janmaat,José Holebas,Craig Cathcart,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Maximiliano Pereyra,Andre Gray,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Francisco Femenía Far,Ken Sema,Nathaniel Chalobah,Isaac  Ajayi Success,David de Gea Quintana,Luis Antonio Valencia Mosquera,Ashley Young,Chris Smalling,Victor Nilsson Lindelöf,Marouane Fellaini-Bakkioui,Paul Pogba,Nemanja Matić,Jesse Lingard,Romelu Lukaku Menama,Alexis Alejandro Sánchez Sánchez,Lee Grant,Eric Bertrand  Bailly,Matteo Darmian,Juan Manuel Mata García,Frederico Rodrigues Santos,Scott McTominay,Anthony Martial,Mike Dean,Darren Cann,Daniel Robathan,Paul Tierney
334,15.09.2018,AFC Bournemouth,Leicester City,Asmir Begović,Adam Smith,Diego Rico Salguero,Steve Cook,Nathan Aké,Jefferson Andrés Lerma Solís,David Brooks,Dan Gosling,Ryan Fraser,Joshua King,Callum Wilson,Artur Boruc,Simon Francis,Andrew Surman,Jordon  Ibe,Lewis Cook,Lys Mousset,Jermain  Defoe,Kasper Schmeichel,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Wes Morgan,Harry Maguire,Onyinye Wilfred Ndidi,Rachid Ghezzal,Nampalys Mendy,James Maddison,Demarai Gray,Jamie Vardy,Danny Ward,Jonny Evans,Christian Fuchs,Marc Albrighton,Daniel Amartey,Vicente Iborra de la Fuente,Kelechi Promise Iheanacho,Craig Pawson,Lee Betts,Ian Hussin,Simon Hooper
335,15.09.2018,Chelsea,Cardiff City,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Marcos  Alonso Mendoza,David Luiz Moreira Marinho,Antonio Rüdiger,Jorge Luiz Frello Filho,N'Golo Kanté,Mateo Kovačić,Olivier Giroud,Pedro Eliezer Rodríguez Ledesma,Eden Hazard,Wilfredo Daniel Caballero,Davide Zappacosta,Andreas Christensen,Danny Drinkwater,Ross Barkley,Willian Borges da Silva,Álvaro Borja Morata Martín,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Souleymane Bamba,Joe Ralls,Víctor Camarasa Ferrando,Harry Arter,Bobby Reid,Danny Ward,David Junior Hoilett,Brian Murphy,Lee Peltier,Jazz Richards,Callum Paterson,Greg Cunningham,Kenneth Dahrup Zohorè,Gary Madine,Jonathan Moss,Harry Lennard,Andy Halliday,Tim Robinson
336,15.09.2018,Huddersfield Town,Crystal Palace,Jonas Lössl,Chris Löwe,Terence Kongolo,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Florent Hadërgjonaj,Rajiv van La Parra,Aaron Mooy,Philip Billing,Steve Mounié,Elias Kachunga,Ben Hamer,Tom Smith,Daniel Williams,Alex  Pritchard,Adama Diakhaby,Isaac Mbenza,Laurent Depoitre,Wayne  Hennessey,Aaron Wan-Bissaka,Patrick  van Aanholt,James Tomkins,Mamadou Sakho,Cheikhou Kouyaté,Andros Townsend,Luka Milivojević,James McArthur,Jordan Ayew,Wilfried Zaha,Vicente Guaita Panadero,Joel Ward,Jeffrey  Schlupp,Martin Kelly,Max  Meyer,Jaïro Riedewald,Alexander Sørloth,Lee Mason,Simon Long,Neil Davies,Andre Marriner
337,15.09.2018,Manchester City,Fulham,Ederson Santana de Moraes,Kyle Walker,Nicolás Hernán Otamendi,Aymeric  Laporte,Fabian Delph,Fernando Luiz Rosa,Bernardo Mota Veiga de Carvalho e Silva,David Josué Jiménez Silva,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Leroy Sané,Arijanet Murić,John Stones,İlkay Gündoğan,Riyad Mahrez,Oleksandr Zinchenko,Philip Foden,Gabriel Fernando de Jesus,Marcus Bettinelli,Cyrus Christie,Denis Odoi,Alfie Mawson,Kouassi Ryan Sessegnon,Kevin McDonald,Jean Michaël Seri,Stefan Marius Johansen,André Schürrle,Aleksandar Mitrović,Luciano Vietto,Fabricio Martín Agosto Ramírez,Calum Chambers,Maxime Le Marchand,Timothy Evans Fosu-Mensah,Joe  Bryan,André-Frank Zambo Anguissa,Floyd Ayité,Stuart Attwell,Constantine Hatzidakis,Richard West,Martin Atkinson
338,15.09.2018,Newcastle United,Arsenal,Martin Dúbravka,Federico Fernández,DeAndre Yedlin,Paul Dummett,Jamaal Lascelles,Matt Ritchie,Mohamed Diamé,Isaac Hayden,Jacob Murphy,José Luis Sanmartín Mato,Ayoze Pérez Gutiérrez,Karl Darlow,Javier Manquillo Gaitán,Ciaran Clark,Jonjo Shelvey,Robert Kenedy Nunes do Nascimento,José Salomón Rondón Giménez,Yoshinori Muto,Petr Čech,Héctor Bellerín Moruno,Ignacio Monreal Eraso,Shkodran Mustafi,Sokratis Papastathopoulos,Aaron Ramsey,Granit Xhaka,Mattéo Guendouzi Olié,Mesut Özil,Alexandre Lacazette,Pierre-Emerick Aubameyang,Bernd Leno,Stephan Lichtsteiner,Rob Holding,Lucas Torreira Di Pascua,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Daniel Nii Tackie Mensah Welbeck,Lee Probert,Simon Beck,Adrian Holmes,David Coote
339,15.09.2018,Tottenham Hotspur,Liverpool,Michel Vorm,Kieran Trippier,Danny Rose,Toby Alderweireld,Jan Vertonghen,Eric Dier,Harry Winks,Christian  Dannemann Eriksen,Lucas Rodrigues Moura da Silva,Mousa Sidi Yaya Dembélé,Harry Kane,Paulo Dino Gazzaniga,Davinson Sánchez Mina,Serge Aurier,Ben Davies,Heung-Min Son,Erik Lamela,Victor Wanyama,Alisson Ramsés Becker,Trent Alexander-Arnold,Andrew Robertson,Joe Gomez,Virgil van Dijk,Georginio Wijnaldum,James Philip Milner,Naby Deco Keïta,Roberto Firmino Barbosa de Oliveira,Mohamed  Salah Ghaly,Sadio Mané,Simon Mignolet,Alberto Moreno Pérez,Joël Andre Job Matip,Fábio Henrique Tavares,Jordan Brian Henderson,Daniel Andre Sturridge,Xherdan Shaqiri,Michael Oliver,Stuart Burt,Simon Bennett,Kevin Friend
340,02.09.2018,Burnley,Manchester United,Joe Hart,Phil Bardsley,Charlie Taylor,James  Tarkowski,Ben Mee,Ashley Westwood,Aaron  Lennon,Jack Cork,Jeff Hendrick,Chris Wood,Dwight McNeil,Tom Heaton,Matthew Lowton,Stephen Ward,Kevin Long,Sam Vokes,Ashley Barnes,Matěj Vydra,David de Gea Quintana,Luis Antonio Valencia Mosquera,Luke Shaw,Chris Smalling,Victor Nilsson Lindelöf,Nemanja Matić,Marouane Fellaini-Bakkioui,Paul Pogba,Jesse Lingard,Romelu Lukaku Menama,Alexis Alejandro Sánchez Sánchez,Lee Grant,Eric Bertrand  Bailly,Ashley Young,Frederico Rodrigues Santos,Ander Herrera Agüera,Marcus Rashford,Anthony Martial,Jonathan Moss,Harry Lennard,Andy Halliday,Michael Oliver
341,02.09.2018,Watford,Tottenham Hotspur,Ben Foster,Daryl Janmaat,José Holebas,Craig Cathcart,Christian Kabasele,Etienne Capoue,Will Hughes,Abdoulaye Doucouré,Roberto Maximiliano Pereyra,Andre Gray,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Francisco Femenía Far,Ken Sema,Nathaniel Chalobah,Isaac  Ajayi Success,Michel Vorm,Kieran Trippier,Ben Davies,Davinson Sánchez Mina,Toby Alderweireld,Jan Vertonghen,Christian  Dannemann Eriksen,Mousa Sidi Yaya Dembélé,Lucas Rodrigues Moura da Silva,Bamidele Alli,Harry Kane,Paulo Dino Gazzaniga,Danny Rose,Kyle Walker-Peters,Harry Winks,Victor Wanyama,Eric Dier,Fernando Llorente Torres,Andre Marriner,Scott Ledger,Daniel Cook,Martin Atkinson
342,02.09.2018,Cardiff City,Arsenal,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Souleymane Bamba,Víctor Camarasa Ferrando,Harry Arter,Joe Ralls,Bobby Reid,David Junior Hoilett,Danny Ward,Brian Murphy,Lee Peltier,Callum Paterson,Greg Cunningham,Kadeem Harris,Kenneth Dahrup Zohorè,Gary Madine,Petr Čech,Héctor Bellerín Moruno,Ignacio Monreal Eraso,Shkodran Mustafi,Sokratis Papastathopoulos,Granit Xhaka,Aaron Ramsey,Mattéo Guendouzi Olié,Mesut Özil,Alexandre Lacazette,Pierre-Emerick Aubameyang,Bernd Leno,Stephan Lichtsteiner,Rob Holding,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Lucas Torreira Di Pascua,Daniel Nii Tackie Mensah Welbeck,Anthony Taylor,Gary Beswick,Adam Nunn,David Coote
